2026-06-05 17:41,SSANAI start!
2026-06-05 17:42,"ultra1: TRIG 9, ECHO 10"
2026-06-05 17:42,"ultra2: TRIG 11, ECHO 12"
2026-06-05 17:43,PIR1: 1 | PIR2: 0 | ultra1 distance: 0.73cm | ultra1: detect | ultra2 distance: 0.63cm | ultra2: detect | All ultra: detect | status: Normal
2026-06-05 17:43,PIR1: 1 | PIR2: 0 | ultra1 distance: 1.51cm | ultra1: detect | ultra2 distance: 1.48cm | ultra2: detect | All ultra: detect | status: Normal
2026-06-05 17:44,PIR1: 1 | PIR2: 0 | ultra1 distance: 0.58cm | ultra1: detect | ultra2 distance: -1.00cm | ultra2: none | All ultra: detect | status: Normal
2026-06-05 17:44,PIR1: 1 | PIR2: 0 | ultra1 distance: 0.54cm | ultra1: detect | ultra2 distance: -1.00cm | ultra2: none | All ultra: detect | status: Normal
2026-06-05 17:45,PIR1: 1 | PIR2: 0 | ultra1 distance: 3.15cm | ultra1: detect | ultra2 distance: 167.93cm | ultra2: none | All ultra: detect | status: Normal
2026-06-05 17:45,PIR1: 1 | PIR2: 0 | ultra1 distance: 0.26cm | ultra1: detect | ultra2 distance: 156.26cm | ultra2: none | All ultra: detect | status: Normal
2026-06-05 17:46,PIR1: 1 | PIR2: 0 | ultra1 distance: 0.56cm | ultra1: detect | ultra2 distance: 158.41cm | ultra2: none | All ultra: detect | status: Normal
2026-06-05 17:46,PIR1: 1 | PIR2: 0 | ultra1 distance: 1.04cm | ultra1: detect | ultra2 distance: 161.40cm | ultra2: none | All ultra: detect | status: Normal
2026-06-05 17:47,PIR1: 1 | PIR2: 0 | ultra1 distance: 0.75cm | ultra1: detect | ultra2 distance: 155.40cm | ultra2: none | All ultra: detect | status: Normal
2026-06-05 17:47,PIR1: 1 | PIR2: 0 | ultra1 distance: 141.68cm | ultra1: none | ultra2 distance: 156.40cm | ultra2: none | All ultra: none | status: Not crowded
2026-06-05 17:48,PIR1: 0 | PIR2: 0 | ultra1 distance: 0.90cm | ultra1: detect | ultra2 distance: 0.85cm | ultra2: detect | All ultra: detect | status: Not crowded
2026-06-05 17:48,PIR1: 1 | PIR2: 0 | ultra1 distance: 14.77cm | ultra1: detect | ultra2 distance: 0.78cm | ultra2: detect | All ultra: detect | status: Normal
