timestamp,pir1,pir2,ultra1_dist,ultra2_dist,ultra1_detect,ultra2_detect,status,pir1_missing,pir2_missing,ultra1_missing,ultra2_missing,imputed,hour,minute,day_of_week,day_name,date,status_kor
2026-08-03 01:25:00,0.0,0.0,151.42,149.88,none,none,Not crowded,False,False,False,False,False,1,25,0,Monday,2026-08-03,여유
2026-08-03 01:30:00,0.0,0.0,135.87,140.51,none,none,Not crowded,False,False,False,False,False,1,30,0,Monday,2026-08-03,여유
2026-08-03 01:35:00,0.0,0.0,139.21,130.59,none,none,Not crowded,False,False,False,False,False,1,35,0,Monday,2026-08-03,여유
2026-08-03 01:40:00,0.0,0.0,150.35,148.61,none,none,Not crowded,False,False,False,False,False,1,40,0,Monday,2026-08-03,여유
2026-08-03 01:45:00,0.0,0.0,149.15,151.99,none,none,Not crowded,False,False,False,False,False,1,45,0,Monday,2026-08-03,여유
2026-08-03 01:50:00,0.0,0.0,151.14,146.18,none,none,Not crowded,False,False,False,False,False,1,50,0,Monday,2026-08-03,여유
2026-08-03 01:55:00,0.0,0.0,150.31,156.43,none,none,Not crowded,False,False,False,False,False,1,55,0,Monday,2026-08-03,여유
2026-08-03 02:00:00,0.0,0.0,150.85,134.24,none,none,Not crowded,False,False,False,False,False,2,0,0,Monday,2026-08-03,여유
2026-08-03 02:05:00,0.0,0.0,159.96,157.17,none,none,Not crowded,False,False,False,False,False,2,5,0,Monday,2026-08-03,여유
2026-08-03 02:10:00,0.0,0.0,142.04,147.77,none,none,Not crowded,False,False,False,False,False,2,10,0,Monday,2026-08-03,여유
2026-08-03 02:15:00,0.0,0.0,148.29,155.89,none,none,Not crowded,False,False,False,False,False,2,15,0,Monday,2026-08-03,여유
2026-08-03 02:20:00,0.0,0.0,143.95,148.04,none,none,Not crowded,False,False,False,False,False,2,20,0,Monday,2026-08-03,여유
2026-08-03 02:25:00,0.0,0.0,152.7,153.9,none,none,Not crowded,False,False,False,False,False,2,25,0,Monday,2026-08-03,여유
2026-08-03 02:30:00,0.0,0.0,135.06,151.76,none,none,Not crowded,False,False,False,False,False,2,30,0,Monday,2026-08-03,여유
2026-08-03 02:35:00,0.0,0.0,141.28,140.38,none,none,Not crowded,False,False,False,False,False,2,35,0,Monday,2026-08-03,여유
2026-08-03 02:40:00,0.0,0.0,147.87,159.81,none,none,Not crowded,False,False,False,False,False,2,40,0,Monday,2026-08-03,여유
2026-08-03 02:45:00,0.0,0.0,134.07,134.26,none,none,Not crowded,False,False,False,False,False,2,45,0,Monday,2026-08-03,여유
2026-08-03 02:50:00,0.0,0.0,158.44,133.74,none,none,Not crowded,False,False,False,False,False,2,50,0,Monday,2026-08-03,여유
2026-08-03 02:55:00,0.0,0.0,134.78,148.51,none,none,Not crowded,False,False,False,False,False,2,55,0,Monday,2026-08-03,여유
2026-08-03 03:00:00,0.0,0.0,136.26,145.84,none,none,Not crowded,False,False,False,False,False,3,0,0,Monday,2026-08-03,여유
2026-08-03 03:05:00,0.0,0.0,155.21,133.99,none,none,Not crowded,False,False,False,False,False,3,5,0,Monday,2026-08-03,여유
2026-08-03 03:10:00,0.0,0.0,150.05,140.97,none,none,Not crowded,False,False,False,False,False,3,10,0,Monday,2026-08-03,여유
2026-08-03 03:15:00,0.0,0.0,153.43,148.85,none,none,Not crowded,False,False,False,False,False,3,15,0,Monday,2026-08-03,여유
2026-08-03 03:20:00,0.0,0.0,145.8,145.02,none,none,Not crowded,False,False,False,False,False,3,20,0,Monday,2026-08-03,여유
2026-08-03 03:25:00,0.0,0.0,158.8,150.09,none,none,Not crowded,False,False,False,False,False,3,25,0,Monday,2026-08-03,여유
2026-08-03 03:30:00,0.0,0.0,152.87,148.16,none,none,Not crowded,False,False,False,False,False,3,30,0,Monday,2026-08-03,여유
2026-08-03 03:35:00,0.0,0.0,152.24,131.05,none,none,Not crowded,False,False,False,False,False,3,35,0,Monday,2026-08-03,여유
2026-08-03 03:40:00,0.0,0.0,138.88,143.09,none,none,Not crowded,False,False,False,False,False,3,40,0,Monday,2026-08-03,여유
2026-08-03 03:45:00,0.0,0.0,144.08,159.49,none,none,Not crowded,False,False,False,False,False,3,45,0,Monday,2026-08-03,여유
2026-08-03 03:50:00,0.0,0.0,148.42,157.97,none,none,Not crowded,False,False,False,False,False,3,50,0,Monday,2026-08-03,여유
2026-08-03 03:55:00,0.0,0.0,138.47,146.44,none,none,Not crowded,False,False,False,False,False,3,55,0,Monday,2026-08-03,여유
2026-08-03 04:00:00,0.0,0.0,152.4,139.77,none,none,Not crowded,False,False,False,False,False,4,0,0,Monday,2026-08-03,여유
2026-08-03 04:05:00,0.0,0.0,137.48,141.59,none,none,Not crowded,False,False,False,False,False,4,5,0,Monday,2026-08-03,여유
2026-08-03 04:10:00,0.0,0.0,155.97,154.41,none,none,Not crowded,False,False,False,False,False,4,10,0,Monday,2026-08-03,여유
2026-08-03 04:15:00,0.0,0.0,144.43,152.82,none,none,Not crowded,False,False,False,False,False,4,15,0,Monday,2026-08-03,여유
2026-08-03 04:20:00,0.0,0.0,149.47,151.26,none,none,Not crowded,False,False,False,False,False,4,20,0,Monday,2026-08-03,여유
2026-08-03 04:25:00,0.0,0.0,153.59,156.13,none,none,Not crowded,False,False,False,False,False,4,25,0,Monday,2026-08-03,여유
2026-08-03 04:30:00,0.0,0.0,145.31,155.61,none,none,Not crowded,False,False,False,False,False,4,30,0,Monday,2026-08-03,여유
2026-08-03 04:35:00,0.0,0.0,138.94,158.58,none,none,Not crowded,False,False,False,False,False,4,35,0,Monday,2026-08-03,여유
2026-08-03 04:40:00,0.0,0.0,157.38,151.21,none,none,Not crowded,False,False,False,False,False,4,40,0,Monday,2026-08-03,여유
2026-08-03 04:45:00,0.0,0.0,133.36,142.42,none,none,Not crowded,False,False,False,False,False,4,45,0,Monday,2026-08-03,여유
2026-08-03 04:50:00,0.0,0.0,137.68,140.24,none,none,Not crowded,False,False,False,False,False,4,50,0,Monday,2026-08-03,여유
2026-08-03 04:55:00,0.0,0.0,138.85,148.95,none,none,Not crowded,False,False,False,False,False,4,55,0,Monday,2026-08-03,여유
2026-08-03 05:00:00,0.0,0.0,158.56,151.04,none,none,Not crowded,False,False,False,False,False,5,0,0,Monday,2026-08-03,여유
2026-08-03 05:05:00,0.0,0.0,156.2,138.62,none,none,Not crowded,False,False,False,False,False,5,5,0,Monday,2026-08-03,여유
2026-08-03 05:10:00,0.0,0.0,159.24,138.13,none,none,Not crowded,False,False,False,False,False,5,10,0,Monday,2026-08-03,여유
2026-08-03 05:15:00,0.0,0.0,149.67,138.47,none,none,Not crowded,False,False,False,False,False,5,15,0,Monday,2026-08-03,여유
2026-08-03 05:20:00,0.0,0.0,136.03,137.01,none,none,Not crowded,False,False,False,False,False,5,20,0,Monday,2026-08-03,여유
2026-08-03 05:25:00,0.0,0.0,148.89,139.77,none,none,Not crowded,False,False,False,False,False,5,25,0,Monday,2026-08-03,여유
2026-08-03 05:30:00,0.0,0.0,158.08,144.55,none,none,Not crowded,False,False,False,False,False,5,30,0,Monday,2026-08-03,여유
2026-08-03 05:35:00,0.0,0.0,138.24,150.55,none,none,Not crowded,False,False,False,False,False,5,35,0,Monday,2026-08-03,여유
2026-08-03 05:40:00,0.0,0.0,151.44,136.63,none,none,Not crowded,False,False,False,False,False,5,40,0,Monday,2026-08-03,여유
2026-08-03 05:45:00,0.0,0.0,144.93,130.29,none,none,Not crowded,False,False,False,False,False,5,45,0,Monday,2026-08-03,여유
2026-08-03 05:50:00,0.0,0.0,158.88,158.02,none,none,Not crowded,False,False,False,False,False,5,50,0,Monday,2026-08-03,여유
2026-08-03 05:55:00,0.0,0.0,156.64,137.67,none,none,Not crowded,False,False,False,False,False,5,55,0,Monday,2026-08-03,여유
2026-08-03 06:00:00,0.0,0.0,140.89,147.77,none,none,Not crowded,False,False,False,False,False,6,0,0,Monday,2026-08-03,여유
2026-08-03 06:05:00,0.0,0.0,136.47,143.76,none,none,Not crowded,False,False,False,False,False,6,5,0,Monday,2026-08-03,여유
2026-08-03 06:10:00,0.0,0.0,159.08,156.91,none,none,Not crowded,False,False,False,False,False,6,10,0,Monday,2026-08-03,여유
2026-08-03 06:15:00,0.0,0.0,146.89,154.67,none,none,Not crowded,False,False,False,False,False,6,15,0,Monday,2026-08-03,여유
2026-08-03 06:20:00,0.0,0.0,135.67,151.3,none,none,Not crowded,False,False,False,False,False,6,20,0,Monday,2026-08-03,여유
2026-08-03 06:25:00,0.0,0.0,145.68,140.55,none,none,Not crowded,False,False,False,False,False,6,25,0,Monday,2026-08-03,여유
2026-08-03 06:30:00,0.0,0.0,152.09,131.72,none,none,Not crowded,False,False,False,False,False,6,30,0,Monday,2026-08-03,여유
2026-08-03 06:35:00,0.0,0.0,133.64,136.0,none,none,Not crowded,False,False,False,False,False,6,35,0,Monday,2026-08-03,여유
2026-08-03 06:40:00,0.0,0.0,135.63,143.22,none,none,Not crowded,False,False,False,False,False,6,40,0,Monday,2026-08-03,여유
2026-08-03 06:45:00,0.0,0.0,131.68,151.46,none,none,Not crowded,False,False,False,False,False,6,45,0,Monday,2026-08-03,여유
2026-08-03 06:50:00,0.0,0.0,151.41,137.81,none,none,Not crowded,False,False,False,False,False,6,50,0,Monday,2026-08-03,여유
2026-08-03 06:55:00,0.0,0.0,144.31,156.99,none,none,Not crowded,False,False,False,False,False,6,55,0,Monday,2026-08-03,여유
2026-08-03 07:00:00,0.0,0.0,132.77,143.66,none,none,Not crowded,False,False,False,False,False,7,0,0,Monday,2026-08-03,여유
2026-08-03 07:05:00,0.0,0.0,139.03,130.48,none,none,Not crowded,False,False,False,False,False,7,5,0,Monday,2026-08-03,여유
2026-08-03 07:10:00,0.0,0.0,130.77,159.9,none,none,Not crowded,False,False,False,False,False,7,10,0,Monday,2026-08-03,여유
2026-08-03 07:15:00,0.0,0.0,158.25,142.15,none,none,Not crowded,False,False,False,False,False,7,15,0,Monday,2026-08-03,여유
2026-08-03 07:20:00,0.0,0.0,143.07,158.01,none,none,Not crowded,False,False,False,False,False,7,20,0,Monday,2026-08-03,여유
2026-08-03 07:25:00,0.0,0.0,159.88,137.47,none,none,Not crowded,False,False,False,False,False,7,25,0,Monday,2026-08-03,여유
2026-08-03 07:30:00,0.0,0.0,144.71,130.7,none,none,Not crowded,False,False,False,False,False,7,30,0,Monday,2026-08-03,여유
2026-08-03 07:35:00,0.0,0.0,132.4,133.11,none,none,Not crowded,False,False,False,False,False,7,35,0,Monday,2026-08-03,여유
2026-08-03 07:40:00,0.0,0.0,131.01,146.89,none,none,Not crowded,False,False,False,False,False,7,40,0,Monday,2026-08-03,여유
2026-08-03 07:45:00,0.0,0.0,156.96,151.08,none,none,Not crowded,False,False,False,False,False,7,45,0,Monday,2026-08-03,여유
2026-08-03 07:50:00,0.0,0.0,147.96,156.94,none,none,Not crowded,False,False,False,False,False,7,50,0,Monday,2026-08-03,여유
2026-08-03 07:55:00,0.0,0.0,148.94,153.32,none,none,Not crowded,False,False,False,False,False,7,55,0,Monday,2026-08-03,여유
2026-08-03 08:00:00,0.0,0.0,130.92,136.05,none,none,Not crowded,False,False,False,False,False,8,0,0,Monday,2026-08-03,여유
2026-08-03 08:05:00,0.0,0.0,156.56,154.52,none,none,Not crowded,False,False,False,False,False,8,5,0,Monday,2026-08-03,여유
2026-08-03 08:10:00,0.0,0.0,139.19,130.59,none,none,Not crowded,False,False,False,False,False,8,10,0,Monday,2026-08-03,여유
2026-08-03 08:15:00,0.0,0.0,155.32,138.79,none,none,Not crowded,False,False,False,False,False,8,15,0,Monday,2026-08-03,여유
2026-08-03 08:20:00,0.0,0.0,137.15,131.79,none,none,Not crowded,False,False,False,False,False,8,20,0,Monday,2026-08-03,여유
